id,name,description,department_id,priority_level,typical_resolution_days
44,Gym Facilities,Equipment and maintenance in gymnasium,13,Medium,5
45,Sports Timing,Facility booking and timing conflicts,13,Low,3
46,Medical Emergency Response,Delayed emergency medical care,14,Critical,1
47,Medicine Availability,Required medicines not in stock,14,High,2
48,Doctor Availability,Medical officer not available,14,High,1
49,Health Checkup Services,Regular health screening issues,14,Medium,7
50,Medical Certificate,Delays in medical certificate issuance,14,Medium,3
51,Bus Route Issues,Route changes and stop modifications,15,Medium,7
52,Bus Timing,Irregular or delayed bus services,15,High,3
53,Bus Condition,Vehicle maintenance and comfort issues,15,Medium,5
54,Driver Behavior,Unprofessional conduct by drivers,15,High,2
55,Bus Overcrowding,Insufficient seating and overcrowding,15,Medium,5
56,Classroom Facilities,Projector AC and seating issues,17,Medium,5
57,Washroom Maintenance,Cleanliness and facility maintenance,17,High,2
58,Electrical Issues,Power outages and electrical problems,17,High,1
59,Water Supply,Drinking water and supply issues,17,High,2
60,Building Safety,Structural safety and emergency exits,17,Critical,3
61,Event Organization,Poor planning of college events,18,Low,10
62,Club Activities,Issues with student clubs and societies,18,Low,7
63,Cultural Programs,Problems with cultural event management,18,Low,14
64,Student Representation,Lack of student voice in decisions,18,Medium,14
65,Grievance Redressal,Slow complaint resolution process,18,Medium,7
66,Ragging Incidents,Any form of ragging or bullying,18,Critical,1
67,Sexual Harassment,Inappropriate behavior or harassment,18,Critical,1
68,Discrimination,Caste religion or gender discrimination,18,Critical,1
69,Mental Health Support,Lack of counseling and support services,18,High,3
70,Safety Concerns,General safety and security issues,18,High,2
71,Document Verification,Delays in certificate verification,10,Medium,7
72,Transcript Issues,Problems with academic transcripts,10,Medium,5
73,ID Card Problems,Student ID card related issues,18,Medium,3
74,Migration Certificate,Issues with migration and transfer certificates,10,Medium,10
75,Bonafide Certificate,Delays in bonafide certificate issuance,10,Low,3
76,Faculty Availability,Teachers not available during office hours,1,Medium,3
77,Practical Exam Issues,Lab exam scheduling and evaluation,1,High,5
78,Internal Assessment,Unfair internal marking and evaluation,1,High,7
79,Semester Registration,Course registration and enrollment issues,10,High,5
80,Backlog Clearance,Issues with backlog exam arrangements,10,Medium,14
81,Parking Issues,Insufficient parking space for vehicles,17,Low,10
82,Canteen Services,Food court and canteen related issues,8,Medium,3
83,Stationery Shop,Campus store and supplies issues,18,Low,5
84,Banking Services,ATM and banking facility problems,18,Medium,5
85,Postal Services,Campus post office related issues,18,Low,7
86,Guest Lecture Issues,Problems with external speaker sessions,1,Low,7
87,Industrial Visit,Issues with educational trips and visits,1,Medium,14
88,Internship Support,Lack of internship guidance and opportunities,12,Medium,21
89,Research Facilities,Inadequate research infrastructure,1,Medium,30
90,Project Guidance,Insufficient project supervision,1,Medium,14
91,Seminar Hall Booking,Issues with auditorium and hall reservations,18,Medium,5
92,Photography Services,Campus photography and videography issues,18,Low,7
93,Alumni Network,Lack of alumni interaction and support,12,Low,30
94,Industry Collaboration,Insufficient industry-academia partnerships,12,Medium,60
95,Innovation Support,Lack of support for student innovations,1,Medium,21
96,Entrepreneurship Programs,Issues with startup and business incubation,12,Medium,30
97,Language Lab Issues,Problems with language learning facilities,1,Medium,5
98,Conference Room Booking,Meeting room reservation problems,18,Low,3
99,Printing Services,Campus printing and photocopying issues,18,Low,2
100,Lost and Found,Issues with lost item recovery system,18,Low,5
